co-founder1,co-founder2,organization name,country,google_search_query_founder1,google_search_query_founder2,co-founder1 linkedin profile,co-founder2 linkedin profile,co-founder1 cv,co-founder2 cv
Ahmed Aboulella,,InfiniLink,Egypt,site:linkedin.com/in Ahmed Aboulella InfiniLink Egypt,,https://eg.linkedin.com/in/ahmedfaboulella,,,
Ahmed Sabbah,Youssef Sholqamy,Telda,Egypt,site:linkedin.com/in Ahmed Sabbah Telda Egypt,site:linkedin.com/in Youssef Sholqamy Telda Egypt,https://eg.linkedin.com/in/ahmedsabbah,,,
Hamza Tag,Yosra Badr,Grinta,Egypt,site:linkedin.com/in Hamza Tag Grinta Egypt,site:linkedin.com/in Yosra Badr Grinta Egypt,https://eg.linkedin.com/in/hamza-tag-a8751579,,,
Waleed Sadek,,PaySky,Egypt,site:linkedin.com/in Waleed Sadek PaySky Egypt,,https://eg.linkedin.com/in/waleed-sadek,,,
Ayman Essawy,,Connect Money,Egypt,site:linkedin.com/in Ayman Essawy Connect Money Egypt,,https://eg.linkedin.com/in/aymanessawy,,,
Rania Gaafar,,ADVA,Egypt,site:linkedin.com/in Rania Gaafar ADVA Egypt,,https://eg.linkedin.com/in/raniagaafar,,,
Mohamed Saleh,,WEBZELLA LTD,Egypt,site:linkedin.com/in Mohamed Saleh WEBZELLA LTD Egypt,,,,,
Amr Saleh,,Welnes,Egypt,site:linkedin.com/in Amr Saleh Welnes Egypt,,https://sa.linkedin.com/in/amrousaleh,,,
Aya ElGebeely,,Talents Arena,Egypt,site:linkedin.com/in Aya ElGebeely Talents Arena Egypt,,https://sa.linkedin.com/in/ayaelgebealy,,,
Ahmed Ragab,Jacques Marco,Axis,Egypt,site:linkedin.com/in Ahmed Ragab Axis Egypt,site:linkedin.com/in Jacques Marco Axis Egypt,https://eg.linkedin.com/in/ragabovic,,,
Amr AbouelYazid,Bellal Mohamed,Zeal,Egypt,site:linkedin.com/in Amr AbouelYazid Zeal Egypt,site:linkedin.com/in Bellal Mohamed Zeal Egypt,https://ca.linkedin.com/in/suleman-punjwani-6a56ba4,,,
Adham Nauman,Omar Ezz El Din,Amenli,Egypt,site:linkedin.com/in Adham Nauman Amenli Egypt,site:linkedin.com/in Omar Ezz El Din Amenli Egypt,https://www.linkedin.com/in/adham-nauman-a6882ba3/,,,
Mustafa Abd Ellatif,,EYouth,Egypt,site:linkedin.com/in Mustafa Abd Ellatif EYouth Egypt,,https://ae.linkedin.com/in/mustafaabdellatif,,,
Khaled Raslan,Mohamed Hossam,Kashier,Egypt,site:linkedin.com/in Khaled Raslan Kashier Egypt,site:linkedin.com/in Mohamed Hossam Kashier Egypt,https://qa.linkedin.com/in/maram-raslan-14176220a,,,
Erik Gordon,,Flash,Egypt,site:linkedin.com/in Erik Gordon Flash Egypt,,https://eg.linkedin.com/in/erik-gordon/ar,,,
Abdel Rahman El-Zohairy,Abeer Elsisi,elves,Egypt,site:linkedin.com/in Abdel Rahman El-Zohairy elves Egypt,site:linkedin.com/in Abeer Elsisi elves Egypt,,https://www.linkedin.com/in/abeer-elsisi-08335411,,
Utsav Dar,,DigiMaaya,Egypt,site:linkedin.com/in Utsav Dar DigiMaaya Egypt,,,,,
Mohamed Younes,,Khazenly,Egypt,site:linkedin.com/in Mohamed Younes Khazenly Egypt,,https://eg.linkedin.com/in/mohamed-younes-704b121a,,,
Ahmad Mokhtar,Sasan Hezarkhani,Swypex,Egypt,site:linkedin.com/in Ahmad Mokhtar Swypex Egypt,site:linkedin.com/in Sasan Hezarkhani Swypex Egypt,https://eg.linkedin.com/in/ahmokhtar,,,
Ahmed Dessouky,Bassem Elshaer,MNZL,Egypt,site:linkedin.com/in Ahmed Dessouky MNZL Egypt,site:linkedin.com/in Bassem Elshaer MNZL Egypt,https://eg.linkedin.com/in/merehanamin,,,
Noha Khater,Rania Kadry,Almouneer,Egypt,site:linkedin.com/in Noha Khater Almouneer Egypt,site:linkedin.com/in Rania Kadry Almouneer Egypt,https://eg.linkedin.com/in/noha-khater-079833a6,,,
Mahmoud Khaled,,Nowlun,Egypt,site:linkedin.com/in Mahmoud Khaled Nowlun Egypt,,https://eg.linkedin.com/in/mahmoudkhaled,,,
Ahmad Yousry,Ismail Hafez,Rabbit mart,Egypt,site:linkedin.com/in Ahmad Yousry Rabbit mart Egypt,site:linkedin.com/in Ismail Hafez Rabbit mart Egypt,https://eg.linkedin.com/in/ahmadyousry,,,
Mostafa Masry,Nihal Ali,Fincart,Egypt,site:linkedin.com/in Mostafa Masry Fincart Egypt,site:linkedin.com/in Nihal Ali Fincart Egypt,https://eg.linkedin.com/in/mostafa-masry,,,
Hazem Eltawab,Ibrahim Elzayat,ReNile,Egypt,site:linkedin.com/in Hazem Eltawab ReNile Egypt,site:linkedin.com/in Ibrahim Elzayat ReNile Egypt,https://eg.linkedin.com/in/hazem-eltawab,,,
